AGM000005,开户日期,Account opening date
AGM000057,应还未还挪用罚息,Should-return default interest of misappropriation
AGM000058,股金类别代码,Share capital type
AGM000059,股金账户状态代码,Share account status
AGM000060,股金证编号,Share certificate number
AGM000061,分红账号,Bonus account
AGM000062,理财账户状态代码,Financial account status
AGM000063,存款协议编号,Deposit agreement number
AGM000064,存款协议起始日期,Deposit agreement  start date
AGM000065,存款协议到期日期,Deposit agreement  end date
AGM000066,存款协议金额,Amount of deposit agreement
AGM000069,存款期限,Terms of deposit
AGM000070,存款期限单位代码,Terms of deposit unit
AGM000071,转存标志,Redeposit mark
AGM000073,利率固定标志,Whether interest rates are fixed
AGM000074,存款利率重新定价日期,Deposit interest rate re pricing date
AGM000075,通知存款提前通知天数,Call deposit advance notification days
AGM000076,存款协议实际终止日期,Deposit agreement actual end date
AGM000077,授信协议编号,Credit granting agreement number
AGM000078,授信签订日期,Credit granting registration date
AGM000079,授信生效日期,Credit granting  valid date
AGM000080,授信期限,Credit granting  period
AGM000081,授信期限单位代码,Credit granting  period unit
AGM000082,授信到期日期,Credit granting  end date
AGM000083,协议签署机构编号,Credit granting agreement signed agency
AGM000084,授信业务类型代码,Credit business type
AGM000085,授信协议状态代码,Credit Agreement state
AGM000086,授信额度性质代码,Nature of credit limit
AGM000087,授信额度类型代码,Credit limit type
AGM000088,授信金额,Amount of credit limit
AGM000090,提用期限,Life time of credit limit
AGM000091,已用额度,Amount of has-been-used credit limit
AGM000092,可用余额,Remaining of credit limit
AGM000093,授信分项种类代码,Types of credit limit
AGM000094,分项额度,Amount of  credit sub-limit
AGM000095,授信担保措施代码,Measures of credit limit guarantee
AGM000096,额度控制方式代码,Control method of credit line
AGM000097,担保控制方式代码,Control method of guarantee
AGM000098,保证金帐号,Margin account
AGM000099,担保率,Guarantee rate
AGM000101,合同签订日期,Loan contract signed date
AGM000102,合同签署机构编号,Loan contract signed agency
AGM000104,合同期限类型代码,Contract period type
AGM000105,合同期限,Contract period
AGM000106,合同期限单位代码,Contract period unit
AGM000107,合同到期日期,Contract due date
AGM000108,合同金额,Amount of contract
AGM000110,合同执行利率,Loan exercise interest rate
AGM000112,借款人性质代码,Nature of borrower
AGM000113,贷款利率固定标志,Loan rate fixed or not
AGM000114,贷款利率浮动方式代码,Loan rate floating type
AGM000116,贷款利率重新定价日期,Loan rate reset date
AGM000117,合同状态代码,Loan contract status
AGM000118,贷款产品类别代码,Loan products type
AGM000122,财政扶持方式代码,Financial assistant method
AGM000123,贴息方式代码,Interest discount mode
AGM000124,涉农标志,Whether be related to agriculture
AGM000125,涉农用途代码,Use of rurual development loan
AGM000126,罚息浮动比例,Default interest floating rate
AGM000127,放款条件,Loan issuing precondition
AGM000128,原贷款还款方式代码,Original Loan Repay Mode
AGM000129,还款来源,Origin of repayment
AGM000130,组合贷款标志,Loan portfolio flag
AGM000132,担保方式代码,Guarantee mode
AGM000135,社团成员角色代码,Role of corporate members
AGM000137,本行出资金额,Total amount of participation
AGM000138,参与出资金额,Sub-branch's amount of participation in corporate loan
AGM000139,社团贷款代理银行,Coporate loan agency
AGM000140,借据编号,Receipt for loans
AGM000143,放款顺序编号,Loan sequence number
AGM000144,借据金额,Duebill amount
AGM000145,贷款借据利率浮动方式代码,Duebill rate floating type
AGM000146,利率浮动值,Interest increment
AGM000147,借据执行利率,Duebill exercise interest rate
AGM000149,贷款期限单位代码,Loan period unit
AGM000151,期数,Number of returning periods
AGM000153,贷款借据状态代码,Loan IOU status
AGM000154,展期次数,Number of roll-overing loan
AGM000155,缩期标志,Shortening loan flag
AGM000156,展期起始日期,Roll-over start date
AGM000157,展期到期日期,Roll-over end date
AGM000159,还款账号,Repayment account
AGM000161,借据逾期本金额,Overdue principal
AGM000162,表内欠息余额,Overdue interest balance in balance sheet
AGM000163,表外欠息余额,Overdue interest balance out of balance sheet
AGM000164,贴现合同编号,Discount contract number
AGM000165,融资票据种类代码,Financing note type
AGM000166,融资票据编号,Financing note number
AGM000167,票据签发日期,Note issue date
AGM000169,融资票据金额,Amount of financing note
AGM000170,贴现转贴现交易类型代码,Transfer discount type
AGM000171,贴现日期,Discount date
AGM000172,贴现利率,Rate of discount
AGM000173,付息方式代码,Interest payment type
AGM000174,计息天数,Interest Accrual days
AGM000175,调整天数,Number of regulating days
AGM000176,贴现利息,Discount interest
AGM000177,实付金额,Actually paid amount
AGM000178,贴出人名称,Note seller name
AGM000179,贴入人名称,Note buyer name
AGM000180,贴入中国人民银行号,Bank number of note buyer
AGM000181,原贴出人名称,Previous note seller name
AGM000182,原贴入人名称,Previous note buyer name
AGM000183,赎回日期,Redemption date
AGM000184,赎回利率,Redemption rate
AGM000185,赎回金额,Redemption amount
AGM000186,银行承兑汇票协议编号,Bank acceptance agreement  number
AGM000187,承兑金额,Amount of bank acceptance
AGM000190,签发类型代码,Bank acceptance issuing type
AGM000192,垫款日罚息率,Default interest rate of bank acceptance advance in cash
AGM000193,承兑用途,Bank acceptance function
AGM000195,涉农用途说明代码,Bank acceptance for rural development description
AGM000196,保证金比例,Rate of guarantee fee
AGM000197,银承担保方式代码,Bank acceptance guarantee mode
AGM000198,贸易融资协议编号,Trade financial agreement number
AGM000199,融资方式代码,Trade financial mode
AGM000201,融资金额,Trade financial amount
AGM000202,融资期限,Trade financial period
AGM000203,正常利率,Normal rate
AGM000204,逾期利率,Overdue rate
AGM000205,结息方式代码,Interest payment mode
AGM000207,单据金额,Amount of note
AGM000209,商品名称,Product name in trade
AGM000210,商品数量,Number of Product in trade
AGM000211,商品计量单位代码,unit of product count
AGM000212,承兑到期日期,Acceptance maturity
AGM000213,承兑日期,Acceptance date
AGM000214,有关信用证编号,Relevant L/C No.
AGM000215,有关保险编号,Relevant insurance number
AGM000216,汇出汇款合同编号,Outward remittance contract number
AGM000217,保函编号,Letter of guarantee number
AGM000218,保函类别代码,Type of L/G
AGM000219,保函有效期,Period of L/G
AGM000220,期限类型代码,Period unit of L/G
AGM000221,保函签订日期,Signed date of L/G
AGM000222,保函起始日期,Start date of L/G
AGM000223,保函到期日期,Expiration date of L/G
AGM000224,保函金额,Amount of L/G
AGM000225,保函手续费率,Handling fee of L/G
AGM000226,保函垫款日罚息率,Default interest rate of L/G advance in cash
AGM000227,保函用途代码,Function of L/G
AGM000228,保函涉农用途说明代码,Function of L/G for rural development
AGM000229,基础合同编号,Basic contract number in L/G
AGM000231,基础合同金额,Basic contract amount in L/G
AGM000232,保函受益人名称,L/G beneficiary name
AGM000233,保函担保方式代码,L/G guarantee mode
AGM000234,保函保证金账号,L/G margin account number
AGM000235,保函保证金比例,L/G margin ratio
AGM000236,卡号,Card number
AGM000238,卡片种类代码,Type of bank card
AGM000239,卡片属性代码,Card Attribute
AGM000240,发卡日期,Card issuing date
AGM000241,销卡日期,Card canceling date
AGM000242,卡片状态代码,Card status
AGM000243,卡片激活日期,Card activation date
AGM000244,卡片激活渠道代码,Card activation channel
AGM000245,卡片有效期,Card validity
AGM000246,主附卡标志,Master or supplementary card flag
AGM000247,卡片电子现金余额,Bank card balance in cash
AGM000248,年费,Bank card annual fee
AGM000249,年费免费期限,Term of bank card annual fee
AGM000252,签发日期,Issuing date
AGM000253,签发行银行编号,Issuing bank number
AGM000255,票据金额,Amount of note
AGM000256,出票人客户编号,Customer number of  note drawer
AGM000257,出票人账号,Account number of note drawer
AGM000258,票据收款人名称,Note payee name
AGM000259,票据收款人账号,account number of note payee
AGM000260,票据收款银行编号,Note beneficiary's bank number
AGM000261,票据付款人名称,Drawee name of note
AGM000262,票据状态代码,Note status
AGM000263,票据性质代码,Nature of note
AGM000264,保证金账号,Margin account number of note
AGM000265,保证金金额,Margin amount
AGM000267,汇款方式代码,Remittance mode
AGM000269,汇款金额,Remittance amount
AGM000270,购汇金额,Purchasing foreign exchange amount
AGM000271,现汇金额,Spot amount
AGM000272,结汇金额,Settlement of exchange amount
AGM000273,付款方开户银行名称,Account opening bank name of remitter
AGM000274,汇款人类型代码,Remitter type
AGM000275,汇款人名称,Name of remitter
AGM000276,汇款人证件编号,ID certificate number of remitter
AGM000277,汇款人地址,Address of remitter
AGM000278,收款人名称,Name of payee
AGM000279,收款人地址,Address of payee
AGM000281,收款人账号,Account number of payee
AGM000282,信用证编号,L/C No.
AGM000283,开证银行SWIFT代码,SWIFT code of L/C issue bank
AGM000284,开证银行名称,Name of L/C issue bank
AGM000285,开证日期,L/C issue date
AGM000286,信用证有效日期,L/C expiration date
AGM000287,信用证有效地点,L/C valid place
AGM000288,信用证申请人名称,L/C applicants name
AGM000289,申请人详细地址,L/C applicants address
AGM000290,信用证受益人名称,L/C beneficiary name
AGM000291,受益人详细地址,L/C beneficiary address
AGM000292,信用证种类代码,type of  L/C
AGM000293,通知银行SWIFT代码,SWIFT code of advising bank
AGM000294,通知银行名称,Name of advising bank
AGM000295,信用证金额,Amount of L/C
AGM000297,业务参考编号,Business reference number of L/C
AGM000298,偿付银行SWIFT代码,SWIFT code of reimbursing bank
AGM000299,偿付银行名称,Reimbursing bank name
AGM000300,议付行SWIFT代码,SWIFT code of Negotiating Bank/Honoring Bank
AGM000301,议付银行名称,Negotiating Bank/Honoring bank name
AGM000302,转递银行SWIFT代码,Transmitting bank
AGM000303,转递银行名称,Transmitting bank name
AGM000304,托收编号,Collection business number
AGM000305,委托日期,Collection business start date
AGM000306,交单方式代码,Document mode
AGM000307,付款期限,Deadline of payment
AGM000308,托收委托人名称,Client name
AGM000309,托收委托人开户银行名称,Opening bank name of client
AGM000310,托收委托人账号,Account number of client
AGM000311,付款人名称,Drawee name
AGM000312,付款人详细地址,Drawee address
AGM000313,托收银行名称,Name of remitting bank
AGM000314,托收银行业务参考号,Remitting bank business reference number
AGM000315,代收银行名称,Name of collecting bank
AGM000316,代收银行地址,Address of collecting bank
AGM000317,托收单据金额,Amount of documents
AGM000318,付款金额,Amount of payment
AGM000319,代理第三方存管协议编号,Agent third-party depository agreement number
AGM000320,联网行账号,Account number in third-party depository bank
AGM000321,第三方存管签约日期,Third-party depository agreement signed date
AGM000322,第三方存管生效日期,Third-party depository agreement effective date
AGM000324,协议状态代码,Third-party depository business status
AGM000326,证券资金账号,Securities fund account number
AGM000327,折算汇率,Exchange rate
AGM000328,签约机构名称,contract signed agency
AGM000329,签约金额,contract signed amount
AGM000330,实际保本率,Absolutely break-even rate
AGM000331,实际投资年化收益率,Actual annual yield
AGM000332,客户前端收费金额,Customer front_end fee
AGM000333,理财产品预期年化收益率,Expected annual yield of financial products
AGM000334,理财规划份数,Amount of financial plans
AGM000335,理财规划日期,Date of financial plans
AGM000336,黄金交易委托方式代码,Order mode of gold transaction
AGM000337,持仓到期日期,Position due date
AGM000338,多头持仓,Long position
AGM000339,空头持仓,Short position
AGM000340,平仓数量,Amount of closing position
AGM000341,交收数量,Settlement amount
AGM000343,贵金属交易金额,Amount of precious metal trade
AGM000344,贵金属购买数量,Precious metal purchasing amount
AGM000345,贵金属提货日期,Precious metal  delivery date
AGM000346,协议编号,Agreement number
AGM000347,收单机构名称,Acquirer name
AGM000349,MCC码,MCC code
AGM000350,商户开户银行名称,Merchant's opening bank name
AGM000351,商户账号,Merchant's account
AGM000352,商户营业执照名称,Merchant's business license
AGM000353,特约商户地址,Merchant's address
AGM000354,商户属性代码,Merchant's attribution
AGM000355,境内银联卡手续费率,Domestic UnionPay card fee rate
AGM000356,境外银联卡手续费率,Overseas UnionPay card fee rate
AGM000357,商户联系电话,Merchant's phone number
AGM000358,商户收单签约日期,Merchant acquiring signed date
AGM000359,商户收单协议有效期,Validity of merchant acquiring agreement
AGM000360,商户收单协议生效日期,Merchant acquiring agreement start date
AGM000361,商户收单协议到期日期,Merchant acquiring agreement due date
AGM000362,商户收单协议终止日期,Merchant acquiring agreement end date
AGM000363,拓展机构编号,Develop organization
AGM000364,鲜特汇协议编号,XTH agreement number
AGM000365,鲜特汇协议生效日期,XTH agreement start date
AGM000366,鲜特汇协议到期日期,XTH agreement due date
AGM000367,鲜特汇协议终止日期,XTH agreement end date
AGM000368,银联借记卡支付手续费率,UnionPay debit card payment fee rate
AGM000369,银联贷记卡支付手续费率,UnionPay credit card payment fee rate
AGM000370,微信支付手续费率,Wechat payment fee rate
AGM000371,支付宝支付手续费率,Alipay payment fee rate
AGM000372,同业市场成交编号,Transaction number of inter-bank dealing
AGM000373,信用拆借交易类型代码,Type of credit loan
AGM000374,同业交易方向代码,Trade orientation of Inter-bank
AGM000375,同业拆借首次结算日期,Inter-bank borrowing first settlement date
AGM000376,同业交易到期日期,due date of inter-bank dealing
AGM000377,同业交易交易本金,Principal of inter-bank dealing
AGM000378,到期还款金额,Repayment amount
AGM000379,同业交易利率,Exchange rate of inter-bank dealing
AGM000380,同业市场交易对手编号,Inter-bank dealing counterparty number
AGM000381,同业市场交易对手名称,Inter-bank dealing counterparty name
AGM000382,同业拆借交易品种代码,Inter-bank borrowing trade categories
AGM000383,成交日期,Transaction date
AGM000384,债券成交编号,Transaction number
AGM000385,买卖方向代码,Trade orientation
AGM000388,债券代码,Bond number
AGM000390,券面总额,Amount of bond
AGM000392,交易对手编号,Counterparty number
AGM000393,交易对手名称,Counterparty name
AGM000394,成交序列编号,Serial number of transaction
AGM000395,资金账户名称,Transaction settlement fund account name
AGM000396,资金开户银行,Opening bank of transaction settlement fund account
AGM000397,资金账号,Account number of opening bank
AGM000398,支付系统银行编号,Bank number in payment system
AGM000399,债券托管账户名称,Escrow account name of bond
AGM000400,债券托管机构名称,Escrow agency of bond
AGM000401,债券托管账号,Escrow account number of bond
AGM000402,净价,Net price
AGM000403,收益率,Rate of return
AGM000404,应计利息,Accrued interest
AGM000405,应计利息总额,Gross accrued interest
AGM000406,全价,Dirty price/Full price
AGM000407,结算金额,Amount of settlement
AGM000408,债券结算日期,Settlement date
AGM000409,结算方式代码,Clearing form
AGM000410,每百元本金额,Principal for per centum
AGM000411,本金额,Principal
AGM000412,首次净价,Net price for the first time
AGM000413,到期净价,Due to net price
AGM000414,折算比例,Convert proportion
AGM000415,回购利率,Repo rate
AGM000416,回购期限,Repo period
AGM000417,债券回购类型代码,Type of repo
AGM000418,首次应计利息,First accrued interest
AGM000419,到期应计利息,Accrued interest to maturity
AGM000420,首次收益率,Rate of return in sell-repo
AGM000421,到期收益率,Rate of return in anti-repo
AGM000422,首次全价,First dirty price
AGM000423,到期全价,Due dirty price
AGM000424,首次结算金额,First amount of settlement
AGM000425,到期结算金额,Due amount of settlement
AGM000426,首次结算方式代码,First settlement mode
AGM000427,到期结算方式代码,Due settlement mode
AGM000428,首次结算日期,First settlement date
AGM000429,到期结算日期,Due settlement date
AGM000430,实际占款天数,Actual occupation days
AGM000431,交易品种代码,Trade categories
AGM000432,交易编号,Transaction number
AGM000433,结售汇业务类型代码,Business type of exchange settlement or exchange settlement
AGM000434,申请日期,Apply date
AGM000435,申请人证件类型代码,ID certificate type of applicant
AGM000436,申请人证件编号,ID certificate number of applicant
AGM000438,结汇资金属性代码,Fund attribute of exchange settlement
AGM000439,购汇资金属性代码,Fund attribute of foreign exchange purchasing
AGM000440,申请人客户编号,Applyer customer number
AGM000441,申请人名称,Applyer name
AGM000443,外币金额,Amount of foreign currency
AGM000444,人民币金额,amount of RMB
AGM000446,资金交割日期,Capital settlement date
AGM000447,合约生效日期,Contract effective date
AGM000448,合约到期日期,Contract maturity date
AGM000449,外汇账户账号,Foreign exchange account number
AGM000450,人民币账户账号,RMB account number
AGM000451,业务办理渠道代码,Business processing channel
AGM000452,外汇交易编号,Foreign exchange number
AGM000453,外汇交易对手编号,Foreign exchange counterparty number
AGM000454,签约日期,Contract signed date
AGM000456,即期交割日期,Spot delivery date
AGM000457,远期交割日期,Forward delivery date
AGM000458,即期买入金额,Amount of buying at sight
AGM000460,远期买入金额,Amount of forward buying
AGM000462,即期卖出金额,Amount of selling at sight
AGM000464,远期卖出金额,Amount of forward selling
AGM000466,即期汇率,Spot rate
AGM000467,远期汇率,Forward rate
AGM000468,担保合同类型代码,Type of guarantee contract
AGM000470,担保合同状态代码,Guarantee contract status
AGM000471,担保合同签订日期,Signed date of guarantee contract
AGM000472,担保合同生效日期,Start date of gur contract
AGM000476,被保证人客户编号,Customer number of warrantee
AGM000477,被保证人名称,Name of warrantee
AGM000478,保证担保类型代码,Type of warrandice
AGM000479,保证人名称,Guarantor name
AGM000480,保证人客户编号,Customer number of guarantor
AGM000481,抵质押物类型代码,Type of pledge or mortgage
AGM000495,综合人民币,Balance of RMB loans
AGM000496,本金逾期起始日期,Principal overdue date
AGM000497,利息逾期起始日期,Interest overdue date
AGM000498,本息逾期日期,Principal or interest overdue date
AGM000499,结清日期,Settlement date
AGM000500,核销日期,Write-off date
AGM000501,置换日期,Replacement date
AGM000502,重组日期,Loan restructuring date
AGM000503,债转股日期,Debt-for-equity swap date
AGM000504,剥离日期,Date of stripping loan
AGM000505,贷款转让日期,Date of assignment of the loan
AGM000506,以物抵债日期,Date of Debt-paying in assets
AGM000507,资产证券化转让日期,Date of transfer for securitization
AGM000508,贷款交易金额折人民币,The amount of the RMB loan incurred
AGM000510,担保合同金额折人民币,Exchange amount of gur for RMB
AGM000511,具有优先受偿权标志,Priority right of compensation flag
AGM000512,投向背景主体标志,personal customer identification
AGM000516,代办人名称,Name of agent
AGM000517,代办人证件编号,The id number of the Agent
AGM000520,还款总期数,Number of repayment periods
AGM000521,当前还款期数,The current repayment period
AGM000523,最高逾期期数,Maximum overdue periods
AGM000524,累计逾期期数,Cumulative overdue periods
AGM000525,入账账号,Loan entry account number
AGM000526,入账账户名称,Loan entry account name
AGM000527,还款账户名称,Repayment account name
AGM000528,还款账户开户银行名称,Bank name of repayment account
AGM000529,计划还款日期,Scheduled repayment date
AGM000530,应还本金,Principal payable
AGM000531,应还利息,Interest payable
AGM000532,涉农贷款标志,Whether be related to agriculture
AGM000533,受托支付金额,Entrusted payment amount
AGM000534,受托支付日期,Entrusted payment date
AGM000535,受托支付对象账号,Entrusted payment account number
AGM000536,受托支付对象账户名称,Entrusted payment account name
AGM000537,受托支付对象银行编号,Bank number of the entrusted payment account
AGM000538,受托支付对象银行名称,Bank name of the entrusted payment account
AGM000540,银/社团类型代码,Syndicated loan type
AGM000541,牵头行银行编号,Number of the leading bank
AGM000542,牵头行银行名称,Name of the leading bank
AGM000543,参加行银行编号,Number of the participating bank
AGM000544,参加行银行名称,Name of the participating bank
AGM000545,代理行银行编号,Number of the agent bank
AGM000546,代理行银行名称,Name of the agent bank
AGM000548,银/社团项目总贷款额度,Total amount of syndicated loans
AGM000549,银/社团项目已发放贷款额度,Amount of syndicated loans issued
AGM000550,承担贷款金额,Amount of loan undertaken
AGM000551,已发放承担贷款金额,Amount of commitment loan issued
AGM000552,贴现人账号,Discounting account number
AGM000553,购货方名称,Name of buyer
AGM000554,销货方名称,Name of seller
AGM000555,贸易交易内容,Content of trade transaction
AGM000556,支付对象名称,Name of payment object
AGM000557,手续费率,Commission rate
AGM000561,融资租赁类型代码,Type of finance lease
AGM000562,租赁标的物,Lease the subject matter
AGM000563,融资租赁合同余额,Balance of the finance lease contract
AGM000564,承租人名称,Name of Lessee
AGM000565,承租人账号,Lessee account
AGM000566,承租人开户银行名称,Bank name of the lessee's account
AGM000567,租赁公司名称,Name of Leasing Company
AGM000568,租赁公司证件编号,Id number of leasing company
AGM000569,垫款类型代码,Advances type
AGM000570,信用证合同编号,Letter of credit contract number
AGM000571,垫款金额,Advances amount
AGM000572,垫款余额,Balance of advances
AGM000573,垫款日期,The date of advances
AGM000574,保证人类型代码,Type of Guarantor
AGM000576,保证人证件编号,Id number of guarantor
AGM000577,担保人净资产,Net asset of guarantor
AGM000578,上次五级分类日期,Date of last date Five-level Classification
AGM000579,分类理由,Classification reason
AGM000580,分类方式代码,Classification types
AGM000589,七级分类日期,Date of Seven-level Classification
AGM000590,五级分类日期,Date of Five-level Classification
AGM000591,出票人开户银行名称,Bank name of note drawer account
AGM000592,保理币种代码,Factoring currency
AGM000594,共同申请人客户编号,Co-applicant number
AGM000595,共同申请人客户名称,Co-applicant name
AGM000596,共同申请人证件类型代码,Co-applicant certificate type
AGM000597,同时申请人证件号码,Co-applicant certificate NO.
AGM000598,共同申请人标志,Co-applicant id
AGM000599,保证合同编号,Warranty Contract No.
AGM000600,合同类型代码,type of contract
AGM000601,账单地址,billing address
AGM000602,收取违约金标志,Collect liquidated damages or not
AGM000603,违约金收取说明,Penalty charge description
AGM000604,争议解决方式代码,dispute Resolution
AGM000605,放款前提条件,lending prerequisites
AGM000606,其他约定事项,other agreed matters
AGM000607,逾期罚息利率,Interest rates on late penalties
AGM000608,挪用利率,Misappropriation of interest rates
AGM000609,挪用罚息利率,Misappropriation of penalty interest rates
AGM000610,担保限额,Guarantee limit
AGM000611,对外已提供担保金额,Amount of the foreign guarantee
AGM000612,审查意见,Review opinions
AGM000613,审查意见说明,Comment on review
AGM000614,审查人编号,Assessor
AGM000615,审查机构名称,Censors
AGM000616,提款期限,Withdrawal period
AGM000617,首次放款日期,First loan date
AGM000619,计收逾期利息标志,Whether overdue interest is charged
AGM000620,计收挪用利息标志,Whether embezzlement interest is charged
AGM000621,支付条件,Terms of payment
AGM000622,审查报告审核意见,Opinions on the examination report
AGM000623,审查报告审核意见说明,A statement of opinions on the examination report
AGM000624,审查报告审定人意见,Review the opinions of the examiners of the report
AGM000625,审查报告审定意见说明,A statement of opinions on the examination and approval of the report
AGM000626,董（理）事长意见,Chairman's opinion
AGM000627,董（理）事长意见说明,Statement of the Chairman's opinion
AGM000628,风险防范措施,Risk prevention measures
AGM000629,贷后检查日期,Post-loan inspection date
AGM000630,贷后检查方式代码,Post-loan inspection method
AGM000631,审批意见落实标志,The approval opinions are implemented or not
AGM000632,担保变化标志,The guarantee changed or not
AGM000633,贷后处理意见,Post-loan inspection opinion
AGM000634,诉讼有效期,Duration of action
AGM000635,贷后检查人代码,Post-loan inspectors
AGM000636,贷后检查审查人代码,Post-loan inspection examiners
AGM000637,贷后检查状态代码,Post-loan inspection status
AGM000638,催收任务编号,Collection task number
AGM000639,当前风险等级代码,Current risk level
AGM000640,催收结果,Results of collect loan
AGM000641,已诉讼标志,Litigation or not
AGM000642,已执行标志,Execution or not
AGM000643,预计贷款期内总经营收入（万元）,Estimated gross operating income during loan period
AGM000644,预计贷款期内总成本费用（万元）,Estimated total cost over the loan period
AGM000645,预计贷款期内利润总额（万元）,Estimated gross profit over the loan period
AGM000646,预计贷款期内净利润（万元）,Estimated net profit over loan period
AGM000647,高风险标志,High risk logo
AGM000648,加入高风险时间,Add high risk time
AGM000650,贷款分类代码,Loan classification
AGM000651,循环贷款标志,Revolving loan logo
AGM000652,贷款转出日期,Date of loan transfer
AGM000653,自主支付限额,Autonomous payment limit
AGM000654,五级分类首分结果代码,First results of the five-level classification
AGM000655,挪用贷款资金标志,Misappropriation of loan or not
AGM000656,特色贷款类型代码,Featured loan types
AGM000657,抵押人名称,Name of mortgagor
AGM000658,抵押人证件类型代码,Mortgagor ID certificate type
AGM000659,抵押人证件编号,Mortgagor ID certificate number
AGM000660,出质人证件编号,Pledgor ID certificate number
AGM000661,单据种类代码,Document type
AGM000662,融资租赁币种代码,Finance lease currency
AGM000663,审查日期,Review date
AGM000664,贷审会秘书编号,Secretary of the loan committee
AGM000665,贷审会日期,Time for loan review meeting
AGM000666,贷审会主任编号,Loan Officer
AGM000667,贷审会委员编号,Members of the loan committee
AGM000668,贷审会委员意见,Views of the loan committee members
AGM000669,贷审会委员意见说明,Statement of the views of the loan committee members
AGM000670,贷审会审议结果,The outcome of the review
AGM000671,贷审会意见说明,A statement of views of the loan committee
AGM000672,贷审会主任意见,Advice from the loan officer
AGM000673,贷审会主任意见说明,Comments from the director of the Loan Association
AGM000674,额度循环标志,Line of credit cycle mark
AGM000676,委托贷款类型代码,Entrusted loan type
AGM000677,委托人客户编号,The principal number
AGM000678,委托人名称,The principal name
AGM000679,委托人账号,Account number of principal
AGM000680,委托人开户银行名称,Bank name of principal account
AGM000681,受益人账号,Account number of beneficiary
AGM000682,受益人名称,Beneficiary name
AGM000683,收息标志,Whether to collect interest
AGM000684,已兑付金额,Amount paid
AGM000685,待支付金额,Amount to be paid
AGM000686,受益人开户银行账号,Bank account number of beneficiary
AGM000687,受益人开户银行名称,Bank name of beneficiary account
AGM000688,支付期限,Payment period
AGM000690,银/社团项目总贷款余额,Total balance of Bank (community) loans
AGM000691,他行牵头行银行名称,Name of Lead banks in other banks
AGM000692,社内牵头银行,Name of Lead banks within the community
AGM000693,社内参与银行,Name of Participating banks within the community
AGM000694,保函结算账号,Account number of L/G
AGM000695,保函结算账号名称,Account name of L/G
AGM000696,保函受益人证件编号,ID number of L/G beneficiary
AGM000697,受益人结算账号,Beneficiary's account number
AGM000698,受益人开户银行编号,The bank name of beneficiary account
AGM000699,受益人注册地址,Beneficiary's registered address
AGM000700,受益人联系地址,Beneficiary's contact address
AGM000701,受益人联系电话,Beneficiary's Contact Number
AGM000702,项目合同编号,Project Contract No.
AGM000703,保函项下项目名称,Name of the project under the L/G
AGM000704,项目合同签订日期,Date of signing the project contract
AGM000705,项目合同到期日期,Expiration date of the project contract
AGM000706,代偿（垫款）标志,Reimbursement mark
AGM000707,垫款付款金额,Advances amount
AGM000708,在本行贴现标志,Discount at our bank or not
AGM000709,剩余还款期数代码,Number of remaining repayment periods
AGM000710,特殊交易类型代码,Special transaction type
AGM000711,展期月数,Roll over months
AGM000712,缩期月数,Time shortened months
AGM000713,延期月数,Time extended months
AGM000714,本年累放贷款金额,The amount of accumulated loans made during the year
AGM000715,本年累放贷款年化利息收益,Annualized interest income on accumulated loans for the current year
AGM000717,上年末七级分类结果代码,Last year Seven-level Classification
